,Name,Album,Artist,url
0,Sick Thoughts,Sick Thoughts,Lewis Blissett,https://open.spotify.com/track/4uxJICczweCIPZkIA6AN5k?si=ed769232d8e24255
1,Mo Bamba,MUDBOY,Sheck Wes,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr?si=ce5c4dfdf3374f07
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd?si=49c98e8bd301433b
3,Foot Fungus,STOKELEY,Ski Mask The Slump God,https://open.spotify.com/track/3EikYy40GMSp8l5mDV6IQo?si=80ef1838d38d4d89
4,Shhh (Pew Pew) - Slowed + Reverb,Shhh (Pew Pew) [Slowed + Reverb],Young Fanatic,https://open.spotify.com/track/4CRoQgyLLkvNHQ2h990OYr?si=1e910fb94e8d4ea2
5,Rasputin,Rasputin,Majestic,https://open.spotify.com/track/5lWSa1rmuSL6OBPOnkAqoa?si=69c7e035010440e4
6,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277?si=a5d3b180d55e4985
7,Whoopty,Whoopty,CJ,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA?si=9f709eabbc8348c2
8,Streets,Hot Pink,Doja Cat,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf?si=e5843b9f65b64335
9,Goosebumps - Remix,Goosebumps (Remix),Travis Scott,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2?si=d4fc1f4b1d644ce2
10,Paparazzi,Paparazzi,Kim Dracula,https://open.spotify.com/track/02XnQdf7sipaKBBHixz3Zp?si=9ec5ee01caf54488
11,hot girl bummer,hot girl bummer,blackbear,https://open.spotify.com/track/6jRq8gaZhMUyy5RclRPcAf?si=feacfaa96de1453f
12,Runnin Low,Runnin Low,Kieran Alleyne,https://open.spotify.com/track/04f7fQILKDgLE8aHbF73VO?si=dda4d4cb59a0473e
