,Name,Album,Artist,url
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa?si=f64eec6e8ac648f7
1,Jocelyn Flores,17,XXXTENTACION,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96?si=d900ef7e89704d30
2,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,https://open.spotify.com/track/0vGWBo1b6KyE9klUQfxqwJ?si=9707f1142b1c49c7
3,how to live,how to live,yaeow,https://open.spotify.com/track/1DiOSZ8PpnmwgriDH0RNQd?si=0aec85a708ad43a7
4,It's You,YOU,Ali Gatie,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29?si=d5bef9e5994c4bb1
5,Loosing Interest,Passion & Confusion,Timmies,https://open.spotify.com/track/2DIFiLjzVxSUc7YY2k7WDA?si=bf0caf286ba14b55
6,Tell Me Goodbye,Tell Me Goodbye,ORYL,https://open.spotify.com/track/5alfrPuyUKhlcblBoawxz6?si=8749444126e94a39
7,Dead and Cold,Dead and Cold,ELIJAH MOON,https://open.spotify.com/track/33LizV83s7z1gwtmLiKlmv?si=82890d45893944d0
8,Heather,Kid Krow,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA?si=7e0289c0f1494a55
9,Reckless,Reckless,Madison Beer,https://open.spotify.com/track/5ajjAnNRh8bxFvaVHzpPjh?si=57e16817a6f346a2
10,paradise,paradise,cliffe,https://open.spotify.com/track/6nek1Nin9q48AVZcWs9e9D?si=6864576f3317469d
11,Me Too,Me Too,April Jai,https://open.spotify.com/track/3KwwE4sgCzMaKWq6QBebmX?si=2707f171ed87421a
12,Six Feet Under,Six Feet Under,Billie Eilish,https://open.spotify.com/track/2VlLbhGLVJgdOW7kKdWWFc?si=862556cf087c4321
