,Name,Album,Artist,url
0,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://open.spotify.com/track/4y1nvncvBhdoelqPMyXxis?si=a30623c995c94000
1,Fearless,Fearless,Lost Sky,https://open.spotify.com/track/7xkCeK3qzCyf43cF8yN7Xt?si=94e4f825321c4d55
2,Ark,Ark,Star Party,https://open.spotify.com/track/270aqOuRwQS2xfNc3cj5VA?si=9964fa85b4d94a9c
3,Supersonic,Supersonic,Rob Gasser,https://open.spotify.com/track/3II8rS9b8yRj1SQv2MXill?si=a56ee45b6ad14d31
4,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://open.spotify.com/track/7xkCeK3qzCyf43cF8yN7Xt?si=94e4f825321c4d55&nd=1
5,Mortals,Mortals,Mortals,Warriyo,https://open.spotify.com/track/11uvudmvZBzG2ztQsOB5sF?si=8b6a5f81cdab4635
6,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://open.spotify.com/track/7Mqdzo9NcZLUwTAoyV2AeE?si=071c78157d184462
7,Fearless,Fearless,Lost Sky,https://open.spotify.com/track/270aqOuRwQS2xfNc3cj5VA?si=9964fa85b4d94a9c
8,Ark,Ark,Star Party,https://open.spotify.com/track/270aqOuRwQS2xfNc3cj5VA?si=0311a310cd3a4718
9,Ark,Ark,Star Party,https://open.spotify.com/track/270aqOuRwQS2xfNc3cj5VA?si=0311a310cd3a4718
10,Mortals,Mortals,Warriyo,https://open.spotify.com/track/11uvudmvZBzG2ztQsOB5sF?si=20c63861e2ca4326
11,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://open.spotify.com/track/7Mqdzo9NcZLUwTAoyV2AeE?si=c32b85fd2ec04218
12,Supersonic,Supersonic,Rob Gasser,https://open.spotify.com/track/1fSdAkbofT03q7ddO2jdss?si=0aa5ef35699b4bd9
