,Name,Album,Artist,url
0,Leave The Door Open,Leave The Door Open,Bruno Mars,https://open.spotify.com/track/02VBYrHfVwfEWXk5DXyf0T?si=72163109bddb4c87
1,Dynamite,Dynamite (DayTime Version),BTS,https://open.spotify.com/track/3u4igxLGmXBu1eiQjawtoe?si=404083f049564332
2,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF?si=9bfa93bccb904b44
3,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK?si=cd23131af2884f84
4,Perfect,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v?si=6b73944d7ee34f88
5,GIRL LIKE ME,GIRL LIKE ME,Black Eyed Peas,https://open.spotify.com/track/1zLBsSVxETQOfINOLYvT5m?si=e519b0bbab1c4e7b
6,We Need Love - Cabu Remix,We Need Love (Cabu Remix),Cabu,https://open.spotify.com/track/6qc5W7qSNHX6rsggU1Bj1d?si=eed164eed16c4405
7,Dance Monkey,Dance Monkey,Tones And I,https://open.spotify.com/track/2XU0oxnq2qxCpomAAuJY8K?si=e5ef0a3d14674f77
8,Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS?si=e203e019611c4db5
9,Sugar,V (Deluxe),Maroon 5,https://open.spotify.com/track/0qBmeNn8KhZVkKKyjjprCf?si=6107fb96f3b94a20
10,Girls Like You (feat. Cardi B),Girls Like You (feat. Cardi B),Maroon 5,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8?si=7ff5f7a68e874065
11,Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK,https://open.spotify.com/track/1cdbkpZ3q1KYZDNSrOpdkb?si=0d617ee974a849a7
12,Useless,Useless,Two Friends,https://open.spotify.com/track/1vsxgWi9LST87Z26Sog6jR?si=024a7d36402742aa
