,Name,Album,Artist
0,Heathens,Heathens,Twenty One Pilots
1,Attention,Voicenotes,Charlie Puth
2,There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes
3,Believer,Evolve,Imagine Dragons
4,Galway Girl,÷ (Deluxe),Ed Sheeran
5,Faded,Different World,Alan Walker
6,Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),Clean Bandit
7,Fight Song,Wildfire,Rachel Platten
8,Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),Clean Bandit
9,Shape of You,÷ (Deluxe),Ed Sheeran
10,Something Just Like This,Memories...Do Not Open,The Chainsmokers
11,Treat You Better,Illuminate (Deluxe),Shawn Mendes
12,Thunder,Evolve,Imagine Dragons
